,Area,Year,% of total country area cultivated,Arable land area,Cultivated area (arable land + permanent crops),Dependency ratio,Environmental Flow Requirements,GDP per capita,Gross Domestic Product (GDP),Groundwater produced internally,Groundwater: accounted inflow,Groundwater: entering the country (total),Long-term average annual precipitation in depth,Long-term average annual precipitation in volume,Overlap between surface water and groundwater,Overlap: between surface water and groundwater,Permanent crops area,Population density,Rural population,Surface water produced internally,Surface water: accounted flow of border rivers,Surface water: accounted inflow,Surface water: entering the country (total),Surface water: inflow not submitted to treaties,Surface water: inflow secured through treaties,Surface water: inflow submitted to treaties,Surface water: leaving the country to other countries (total),Surface water: outflow to other countries not submitted to treaties,Surface water: outflow to other countries secured through treaties,Surface water: outflow to other countries submitted to treaties,Surface water: total external renewable,Surface water: total flow of border rivers,Total area of the country (excl. coastal waters),Total internal renewable water resources (IRWR),Total internal renewable water resources per capita,Total population,Total renewable groundwater,Total renewable surface water,Total renewable water resources,Total renewable water resources per capita,Urban population,Water resources: total external renewable
395,Democratic Republic of the Congo,1990,3.3689999999999998,6700.0,7900.0,29.85,981.7,220.3,8230000000.0,421.0,0.0,0.0,1543.0,3618.0,420.0,420.0,1200.0,15.93,25459.0,899.0,0.0,383.0,383.0,383.0,0.0,0.0,3.301,3.301,0.0,0.0,383.0,0.0,234486.0,900.0,24099.0,37346.0,421.0,1282.0,1283.0,34354.0,11887.0,383.0
396,Denmark,1990,59.13,2539.0,2548.0,0.0,2.302,29582.0,153000000000.0,4.3,0.0,0.0,703.0,30.29,2.0,2.0,9.0,120.0,782.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4309.0,6.0,1160.0,5172.0,4.3,3.7,6.0,1160.0,4390.0,0.0
399,Dominican Republic,1990,27.66,900.0,1346.0,0.0,5.456,1510.0,11300000000.0,4.1610000000000005,0.0,0.0,1410.0,68.62,4.1610000000000005,4.1610000000000005,446.0,153.5,3264.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,1.015,1.015,0.0,0.0,0.0,0.0,4867.0,23.5,3146.0,7469.0,4.1610000000000005,23.5,23.5,3146.0,4205.0,0.0
400,Ecuador,1990,10.65,1633.0,3020.0,0.0,296.2,1690.0,18100000000.0,134.0,0.0,0.0,2274.0,644.8,123.6,123.6,1387.0,37.76,4747.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,163.8,163.8,0.0,0.0,0.0,0.0,28356.0,442.4,41323.0,10706.0,134.0,432.0,442.4,41323.0,5959.0,0.0
401,Egypt,1990,2.992,2615.0,2996.0,98.26,2.6,697.2,41900000000.0,0.5,1.0,1.0,18.1,18.13,0.0,0.0,381.0,59.95,34813.0,0.5,0.0,55.5,84.0,0.0,55.5,84.0,0.0,0.0,0.0,0.0,55.5,0.0,100145.0,1.0,16.66,60036.0,1.5,56.0,57.5,957.8,25223.0,56.5
402,El Salvador,1990,40.45,588.0,851.0,40.5,10.24,1103.0,5950000000.0,6.15,0.0,0.0,1784.0,37.54,2.57,2.57,263.0,256.7,2629.0,12.05,0.0,10.64,10.64,10.64,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2104.0,15.63,2894.0,5400.0,6.15,22.69,26.27,4865.0,2771.0,10.64
403,Equatorial Guinea,1990,8.2,130.0,230.0,0.0,15.21,296.0,135000000.0,10.0,0.0,0.0,2156.0,60.48,9.0,9.0,100.0,16.22,308.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805.0,26.0,57130.0,455.1,10.0,25.0,26.0,57130.0,146.9,0.0
405,Eswatini,1990,11.0,179.0,191.0,41.46,3.133,1418.0,1280000000.0,0.66,0.0,0.0,788.0,13.68,0.66,0.66,12.0,52.19,697.5,2.64,0.0,1.87,1.87,1.87,0.0,0.0,4.5,4.5,0.0,0.0,1.87,0.0,1736.0,2.64,2914.0,906.0,0.66,4.51,4.51,4978.0,208.5,1.87
408,Finland,1990,6.76,2284.0,2286.0,2.727,67.83,22398.0,113000000000.0,2.2,0.0,0.0,536.0,181.2,2.0,2.0,2.1,14.92,1011.0,106.8,0.0,3.0,3.0,3.0,0.0,0.0,27.0,27.0,0.0,0.0,3.0,0.0,33815.0,107.0,21209.0,5045.0,2.2,109.8,110.0,21804.0,4034.0,3.0
409,France,1990,34.7,17847.0,19052.0,5.212999999999999,96.77,24523.0,1410000000000.0,120.0,0.0,0.0,867.0,476.1,118.0,118.0,1205.0,104.7,14836.0,198.0,0.0,11.0,11.0,11.0,0.0,0.0,18.0,18.0,0.0,0.0,11.0,33.0,54909.0,200.0,3478.0,57497.0,120.0,209.0,211.0,3670.0,42661.0,11.0
413,Germany,1990,32.8,11467.0,11708.0,30.52,81.04,26485.0,2120000000000.0,45.7,0.0,0.0,700.0,249.9,45.0,45.0,241.0,224.2,20166.0,106.3,0.0,47.0,47.0,47.0,0.0,0.0,90.8,90.8,0.0,0.0,47.0,0.0,35697.0,107.0,1337.0,80046.0,45.7,153.3,154.0,1924.0,59880.0,47.0
414,Ghana,1990,18.11,2800.0,4320.0,46.09,33.26,414.8,6410000000.0,26.3,0.0,0.0,1187.0,283.1,25.0,25.0,1520.0,64.83,9599.0,29.0,0.0,25.9,25.9,25.9,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,23854.0,30.3,1959.0,15464.0,26.3,54.9,56.2,3634.0,5865.0,25.9
415,Greece,1990,29.87,2864.0,3942.0,15.2,18.97,11099.0,116000000000.0,10.3,0.0,0.0,652.0,86.04,7.8,7.8,1078.0,79.2,3024.0,55.5,2.8,10.4,7.6,7.6,0.0,0.0,1.8,1.8,0.0,0.0,10.4,5.6,13196.0,58.0,5550.0,10451.0,10.3,65.9,68.4,6545.0,7427.0,10.4
418,Guinea,1990,13.65,2805.0,3355.0,0.0,161.0,486.0,3280000000.0,38.0,0.0,0.0,1651.0,405.9,38.0,38.0,550.0,27.49,4833.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2,102.2,0.0,0.0,0.0,0.0,24586.0,226.0,33437.0,6759.0,38.0,226.0,226.0,33437.0,1926.0,0.0
419,Guinea-Bissau,1990,10.16,250.0,367.0,49.04,19.7,212.9,226000000.0,14.0,0.0,0.0,1577.0,56.98,10.0,10.0,117.0,29.42,740.0,12.0,0.0,15.4,15.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,3613.0,16.0,15052.0,1063.0,14.0,27.4,31.4,29539.0,323.0,15.4
420,Guyana,1990,2.345,480.0,504.0,11.07,227.2,492.3,368000000.0,103.0,0.0,0.0,2387.0,513.1,103.0,103.0,24.0,3.48,535.5,241.0,0.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,21497.0,241.0,322149.0,748.1,103.0,271.0,271.0,362251.0,212.6,30.0
423,Honduras,1990,16.49,1515.0,1855.0,1.632,57.39,651.6,3420000000.0,39.0,0.0,0.0,1976.0,222.3,29.91,29.91,340.0,46.65,3101.0,81.57,0.0,1.504,1.504,1.504,0.0,0.0,4.947,5.763999999999999,0.0,0.0,1.504,0.0,11249.0,90.66,17275.0,5248.0,39.0,83.07,92.16,17561.0,2147.0,1.504
424,Hungary,1990,53.45,4742.0,4972.0,94.23,46.1,3721.0,38500000000.0,6.0,0.0,0.0,589.0,54.79,6.0,6.0,230.0,111.4,3561.0,6.0,0.0,98.0,98.0,98.0,0.0,0.0,104.0,104.0,0.0,0.0,98.0,23.0,9303.0,6.0,579.2,10359.0,6.0,104.0,104.0,10040.0,6798.0,98.0
425,Iceland,1990,1.32,136.0,136.0,0.0,96.41,27436.0,7140000000.0,24.0,0.0,0.0,1940.0,199.8,20.0,20.0,0.0,2.526,23.4,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,170.0,653344.0,260.2,24.0,166.0,170.0,653344.0,236.8,0.0
426,India,1990,51.72,162706.0,170006.0,30.52,937.1,323.4,293000000000.0,432.0,0.0,0.0,1083.0,3560.0,390.0,390.0,7300.0,275.6,671187.0,1404.0,0.0,635.2,635.2,635.2,0.0,0.0,1385.0,1142.0,170.3,243.0,464.9,0.0,328726.0,1446.0,1596.0,906021.0,432.0,1869.0,1911.0,2109.0,234834.0,464.9
427,Indonesia,1990,15.46,18100.0,29551.0,0.0,1269.0,740.3,139000000000.0,457.4,0.0,0.0,2702.0,5163.0,411.7,411.7,11451.0,98.26,127293.0,1973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191093.0,2019.0,10753.0,187766.0,457.4,1973.0,2019.0,10753.0,60473.0,0.0
428,Iran (Islamic Republic of),1990,10.48,16969.0,18287.0,6.773,22.7,2146.0,125000000000.0,49.3,0.0,0.0,228.0,397.9,18.1,18.1,1318.0,33.38,24645.0,97.3,2.315,9.335,7.77,6.2,0.82,1.57,18.67,17.5,0.79,1.17,8.545,4.63,174515.0,128.5,2206.0,58261.0,49.3,105.8,137.0,2351.0,33616.0,8.545
430,Ireland,1990,14.31,1003.0,1006.0,5.769,31.22,15598.0,56000000000.0,10.8,0.0,0.0,1118.0,78.57,10.0,10.0,3.0,51.07,1556.0,48.2,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,7028.0,49.0,13653.0,3589.0,10.8,51.2,52.0,14489.0,2033.0,3.0
432,Italy,1990,38.59,8750.0,11629.0,4.6,77.81,23081.0,1320000000000.0,43.0,0.0,0.0,832.0,250.7,31.0,31.0,2879.0,189.8,19217.0,170.5,0.0,8.8,8.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,30134.0,182.5,3191.0,57189.0,43.0,179.3,191.3,3345.0,37972.0,8.8
434,Japan,1990,13.67,4714.0,5165.0,0.0,212.5,30716.0,3850000000000.0,27.0,0.0,0.0,1668.0,630.2,17.0,17.0,451.0,331.8,29741.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37780.0,430.0,3431.0,125341.0,27.0,420.0,430.0,3431.0,95600.0,0.0
437,Kenya,1990,9.945,5292.0,5772.0,32.57,18.57,328.8,8210000000.0,3.5,0.0,0.0,630.0,365.6,3.0,3.0,480.0,43.01,20622.0,20.2,0.0,10.0,10.0,10.0,0.0,0.0,8.9,8.9,0.0,0.0,10.0,0.0,58037.0,20.7,829.2,24964.0,3.5,30.2,30.7,1230.0,4342.0,10.0
444,Lesotho,1990,11.07,332.0,336.0,0.0,1.315,432.2,721000000.0,0.5,0.0,0.0,788.0,23.92,0.5,0.5,4.0,54.91,1416.0,5.23,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2.992,2.208,2.208,-2.208,0.0,3036.0,5.23,3137.0,1667.0,0.5,3.022,3.022,1813.0,250.8,-2.208
450,Madagascar,1990,5.7410000000000005,2780.0,3370.0,0.0,217.5,245.9,3020000000.0,55.0,0.0,0.0,1513.0,888.2,50.0,50.0,590.0,20.95,9274.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58704.0,337.0,27396.0,12301.0,55.0,332.0,337.0,27396.0,3027.0,0.0
451,Malawi,1990,20.51,2300.0,2430.0,6.597,9.529,184.9,1800000000.0,2.5,0.0,0.0,1181.0,139.9,2.5,2.5,130.0,82.12,8538.0,16.14,0.14,1.14,1.0,1.0,0.0,0.0,16.98,16.98,0.0,0.0,1.14,0.0,11848.0,16.14,1659.0,9730.0,2.5,17.28,17.28,1776.0,1192.0,1.14
452,Malaysia,1990,19.73,926.5,6526.0,0.0,385.0,3112.0,59200000000.0,64.0,0.0,0.0,2875.0,951.0,50.0,50.0,5600.0,57.48,9062.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33080.0,580.0,30505.0,19013.0,64.0,566.0,580.0,30505.0,9951.0,0.0
454,Mali,1990,1.806,2163.0,2240.0,50.0,55.2,319.2,2830000000.0,20.0,0.0,0.0,282.0,349.7,10.0,10.0,77.0,7.151,6855.0,50.0,0.0,60.0,60.0,60.0,0.0,0.0,50.0,50.0,0.0,0.0,60.0,0.0,124019.0,60.0,6766.0,8868.0,20.0,110.0,120.0,13532.0,2013.0,60.0
457,Mauritania,1990,0.4153,420.0,428.0,96.49,1.222,684.0,1460000000.0,0.3,0.0,0.0,92.0,94.82,0.0,0.0,8.0,2.077,1223.0,0.1,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,103070.0,0.4,186.8,2141.0,0.3,11.1,11.4,5325.0,918.2,11.0
459,Mexico,1990,12.6,22429.0,24757.0,11.53,195.3,4098.0,364000000000.0,150.0,0.0,0.0,758.0,1489.0,91.0,91.0,2328.0,45.22,24015.0,350.0,0.0,53.32,53.31,51.47,1.85,1.85,19.14,18.71,0.43200000000000005,0.43200000000000005,52.88,0.0,196438.0,409.0,4604.0,88828.0,150.0,402.9,461.9,5200.0,64813.0,52.88
462,Mongolia,1990,0.8714,1362.0,1363.0,0.0,21.18,587.2,1320000000.0,6.1,0.0,0.0,241.0,377.0,4.0,4.0,1.0,1.435,966.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,26.4,26.4,0.0,0.0,0.0,0.0,156412.0,34.8,15508.0,2244.0,6.1,32.7,34.8,15508.0,1278.0,0.0
463,Morocco,1990,21.76,8934.0,9716.0,0.0,8.167,1307.0,33700000000.0,10.0,0.0,0.0,346.0,154.5,3.0,3.0,782.0,57.76,13046.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,44655.0,29.0,1124.0,25791.0,10.0,22.0,29.0,1124.0,12745.0,0.0
464,Mozambique,1990,4.691,3520.0,3750.0,53.8,133.0,162.8,2290000000.0,17.0,0.0,0.0,1032.0,825.0,14.0,14.0,230.0,17.6,10343.0,97.3,0.0,116.8,116.8,116.8,0.0,0.0,1.0,1.0,0.0,0.0,116.8,0.0,79938.0,100.3,7128.0,14071.0,17.0,214.1,217.1,15429.0,3728.0,116.8
466,Namibia,1990,0.8031,660.0,662.0,84.57,7.19,2278.0,3450000000.0,2.1,0.0,0.0,285.0,234.9,0.04,0.04,2.0,1.837,1085.0,4.1,22.75,33.75,11.0,10.95,0.05,0.05,9.65,9.65,0.0,0.0,33.75,53.86,82429.0,6.16,4069.0,1514.0,2.1,37.85,39.91,26361.0,428.9,33.75
468,Nepal,1990,16.07,2327.0,2365.0,5.709,95.94,172.0,3400000000.0,20.0,0.0,0.0,1500.0,220.8,20.0,20.0,37.9,134.4,17948.0,198.2,0.0,12.0,12.0,12.0,0.0,0.0,210.2,210.2,0.0,0.0,12.0,0.0,14718.0,198.2,10023.0,19774.0,20.0,210.2,210.2,10630.0,1826.0,12.0
469,Netherlands,1990,22.2,887.0,922.0,87.91,38.33,23605.0,358000000000.0,4.5,0.0,0.0,778.0,32.31,4.5,4.5,35.0,365.2,4562.0,11.0,0.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,4153.0,11.0,725.3,15166.0,4.5,91.0,91.0,6000.0,10604.0,80.0
471,Nicaragua,1990,11.7,1320.0,1525.0,5.051,107.2,413.9,1790000000.0,59.0,0.0,0.0,2280.0,297.2,55.39,55.39,205.0,33.22,2038.0,152.6,0.0,8.31,8.31,8.31,0.0,0.0,0.0,0.0,0.0,0.0,8.31,0.0,13037.0,156.2,36066.0,4331.0,59.0,160.9,164.5,37982.0,2293.0,8.31
472,Niger,1990,10.26,12987.0,13000.0,89.72,10.61,274.3,2340000000.0,2.5,0.0,0.0,151.0,191.3,0.0,0.0,13.0,6.747000000000001,7265.0,1.0,1.35,30.55,29.2,29.2,0.0,0.0,32.4,32.4,0.0,0.0,30.55,2.7,126700.0,3.5,409.4,8549.0,2.5,31.55,34.05,3983.0,1284.0,30.55
473,Nigeria,1990,37.35,30100.0,34500.0,22.78,157.2,292.4,29300000000.0,87.0,0.0,0.0,1150.0,1062.0,80.0,80.0,4400.0,108.5,69363.0,214.0,0.0,65.2,65.2,65.2,0.0,0.0,2.9,2.9,0.0,0.0,65.2,0.0,92377.0,221.0,2205.0,100222.0,87.0,279.2,286.2,2856.0,30859.0,65.2
476,Norway,1990,2.292,878.0,883.0,2.799,261.5,30515.0,131000000000.0,96.0,0.0,0.0,1414.0,544.6,90.0,90.0,5.0,11.15,1179.0,376.0,0.0,11.0,11.0,11.0,0.0,0.0,10.0,10.0,0.0,0.0,11.0,0.0,38518.0,382.0,88982.0,4293.0,96.0,387.0,393.0,91544.0,3114.0,11.0
479,Pakistan,1990,38.16,29920.0,30380.0,77.71,83.79,427.6,48600000000.0,55.0,0.0,0.0,494.0,393.3,47.4,47.4,460.0,142.9,77296.0,47.4,0.0,191.8,265.1,21.5,170.3,243.6,10.72,10.72,0.0,0.0,191.8,0.0,79610.0,55.0,483.5,113747.0,55.0,239.2,246.8,2170.0,36451.0,191.8
481,Panama,1990,8.751,500.0,660.0,1.9409999999999998,4.864,2730.0,7030000000.0,21.0,0.0,0.0,2928.0,220.8,17.6,17.6,160.0,34.16,1135.0,133.2,2.7039999999999997,2.7039999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7039999999999997,5.409,7542.0,136.6,53028.0,2576.0,21.0,135.9,139.3,54076.0,1441.0,2.7039999999999997
482,Papua New Guinea,1990,1.6030000000000002,192.0,742.0,0.0,504.5,965.2,4380000000.0,211.6,0.0,0.0,3142.0,1454.0,211.6,211.6,550.0,9.8,3897.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46284.0,801.0,176587.0,4536.0,211.6,801.0,801.0,176587.0,639.2,0.0
483,Paraguay,1990,5.864,2300.0,2385.0,69.83,256.3,1615.0,7160000000.0,41.64,0.0,0.0,1130.0,459.6,41.64,41.64,85.0,10.9,2189.0,117.0,197.5,270.8,73.27,73.27,0.0,0.0,125.6,125.6,0.0,0.0,270.8,395.1,40675.0,117.0,26393.0,4433.0,41.64,387.8,387.8,87480.0,2244.0,270.8
484,Peru,1990,3.1430000000000002,3600.0,4040.0,12.7,1343.0,1547.0,35200000000.0,303.0,0.0,0.0,1738.0,2234.0,303.0,303.0,440.0,17.69,6951.0,1641.0,110.0,238.8,128.8,128.8,0.0,0.0,1868.0,1868.0,0.0,0.0,238.8,250.0,128522.0,1641.0,72173.0,22737.0,303.0,1880.0,1880.0,82685.0,15786.0,238.8
485,Philippines,1990,32.78,5435.0,9835.0,0.0,151.9,814.1,53000000000.0,180.0,0.0,0.0,2348.0,704.4,145.0,145.0,4400.0,216.9,33571.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,479.0,7361.0,65075.0,180.0,444.0,479.0,7361.0,31504.0,0.0
490,Republic of Korea,1990,20.85,1898.0,2070.0,6.957999999999999,35.44,8118.0,356000000000.0,13.3,0.0,0.0,1274.0,126.5,10.7,10.7,172.0,441.8,10704.0,62.25,0.0,4.85,4.85,4.85,0.0,0.0,0.0,0.0,0.0,0.0,4.85,0.0,9926.0,64.85,1479.0,43853.0,13.3,67.1,69.7,1589.0,33149.0,4.85
492,Romania,1990,41.78,9357.0,9960.0,80.01,105.2,1075.0,25100000000.0,8.38,0.08,0.08,637.0,151.9,8.0,8.0,603.0,98.05,10741.0,42.0,1.45,169.5,168.1,168.1,0.0,0.0,22.5,22.5,0.0,0.0,169.5,2.9,23839.0,42.38,1813.0,23373.0,8.46,211.5,212.0,9070.0,12632.0,169.6
494,Rwanda,1990,45.06,880.0,1187.0,28.57,10.28,302.7,2030000000.0,7.0,0.0,0.0,1212.0,31.92,7.0,7.0,307.0,254.4,6290.0,9.5,0.0,3.8,3.8,3.8,0.0,0.0,6.145,6.145,0.0,0.0,3.8,0.0,2634.0,9.5,1417.0,6702.0,7.0,13.3,13.3,1984.0,411.6,3.8
502,Senegal,1990,15.66,3044.0,3080.0,33.8,20.16,747.8,6000000000.0,3.5,0.0,0.0,686.0,134.9,1.5,1.5,36.0,40.82,4899.0,23.8,11.0,13.17,2.17,2.17,0.0,0.0,5.4,5.4,0.0,0.0,13.17,22.0,19671.0,25.8,3213.0,8030.0,3.5,36.97,38.97,4853.0,3131.0,13.17
504,Sierra Leone,1990,8.451,486.0,611.0,0.0,117.2,157.0,680000000.0,25.0,0.0,0.0,2526.0,182.6,15.0,15.0,125.0,59.9,2971.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7230.0,160.0,36943.0,4331.0,25.0,150.0,160.0,36943.0,1360.0,0.0
509,South Africa,1990,11.05,13163.0,13473.0,12.84,20.12,3328.0,131000000000.0,4.8,0.0,0.0,495.0,603.4,3.0,3.0,310.0,32.29,18861.0,43.0,0.0,6.6,6.6,4.3919999999999995,2.208,2.208,10.85,10.55,0.05,0.05,6.55,0.0,121909.0,44.8,1138.0,39360.0,4.8,49.55,51.35,1305.0,20499.0,6.55
511,Sri Lanka,1990,29.04,905.0,1905.0,0.0,38.54,546.9,9700000000.0,7.8,0.0,0.0,1712.0,112.3,7.0,7.0,1000.0,270.4,14453.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6561.0,52.8,2976.0,17741.0,7.8,52.0,52.8,2976.0,3288.0,0.0
512,Suriname,1990,0.4151,57.0,68.0,0.0,83.41,957.0,405000000.0,90.0,0.0,0.0,2331.0,381.9,90.0,90.0,11.0,2.5810000000000004,147.1,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16382.0,99.0,234153.0,422.8,90.0,99.0,99.0,234153.0,275.7,0.0
513,Sweden,1990,6.147,2765.0,2768.0,1.724,104.7,32232.0,280000000000.0,20.0,0.0,0.0,624.0,281.0,19.0,19.0,3.0,19.29,1453.0,170.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,45030.0,171.0,19685.0,8687.0,20.0,173.0,174.0,20030.0,7234.0,3.0
514,Switzerland,1990,10.4,406.1,429.4,24.49,27.28,39765.0,271000000000.0,2.5,0.0,0.0,1537.0,63.46,2.5,2.5,23.3,165.1,1791.0,40.4,0.0,13.1,13.1,13.1,0.0,0.0,40.4,40.4,0.0,0.0,13.1,0.0,4129.0,40.4,5928.0,6815.0,2.5,53.5,53.5,7850.0,5024.0,13.1
517,Thailand,1990,40.1,17238.0,20574.0,48.81,189.6,1919.0,111000000000.0,41.9,0.0,0.0,1622.0,832.3,30.69,30.69,3336.0,112.7,40676.0,213.3,214.1,214.1,0.0,0.0,0.0,0.0,61.25,61.25,0.0,0.0,214.1,480.0,51312.0,224.5,3882.0,57838.0,41.9,427.4,438.6,7583.0,17162.0,214.1
519,Togo,1990,38.65,2100.0,2195.0,21.77,8.125,426.1,1690000000.0,5.7,0.0,0.0,1168.0,66.33,5.0,5.0,95.0,69.96,2800.0,10.8,0.0,3.2,3.2,3.2,0.0,0.0,9.592,9.592,0.0,0.0,3.2,0.0,5679.0,11.5,2895.0,3973.0,5.7,14.0,14.7,3700.0,1173.0,3.2
522,Trinidad and Tobago,1990,14.62,40.0,75.0,0.0,2.186,4299.0,5320000000.0,0.614,0.0,0.0,2200.0,11.29,0.514,0.514,35.0,241.1,1126.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,3.84,3104.0,1237.0,0.614,3.74,3.84,3104.0,110.8,0.0
523,Tunisia,1990,29.83,2908.0,4881.0,9.101,0.6767,1801.0,15500000000.0,1.495,0.1,0.1,207.0,33.87,0.4,0.4,1973.0,52.58,3541.0,3.1,0.0,0.32,0.32,0.32,0.0,0.0,0.16,0.177,0.0,0.0,0.32,0.0,16361.0,4.195,487.6,8603.0,1.595,3.42,4.615,536.4,5062.0,0.42
524,Turkey,1990,35.05,24514.0,27526.0,1.518,76.97,2834.0,158000000000.0,69.0,-1.2,0.0,593.0,465.7,28.0,28.0,3012.0,70.99,21971.0,186.0,2.9,4.7,1.8,1.8,0.0,0.0,60.12,41.22,18.9,15.75,-14.2,5.8,78535.0,227.0,4072.0,55749.0,67.8,171.8,211.6,3796.0,33778.0,-15.4
527,Uganda,1990,28.73,5040.0,6940.0,35.11,49.17,153.2,2860000000.0,29.0,0.0,0.0,1180.0,285.0,29.0,29.0,1900.0,77.22,16508.0,39.0,0.0,21.1,21.1,21.1,0.0,0.0,37.0,37.0,0.0,0.0,21.1,0.0,24155.0,39.0,2091.0,18653.0,29.0,60.1,60.1,3222.0,2145.0,21.1
530,United Kingdom,1990,27.17,6554.0,6618.0,1.361,88.35,20524.0,1180000000000.0,9.8,0.0,0.0,1220.0,297.2,9.0,9.0,64.0,236.0,12530.0,144.2,0.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,24361.0,145.0,2522.0,57495.0,9.8,146.2,147.0,2557.0,44965.0,2.0
532,United States of America,1990,19.34,184080.0,186180.0,8.179,1491.0,25403.0,6540000000000.0,1383.0,0.0,0.0,715.0,6885.0,1227.0,1227.0,2100.0,26.74,59866.0,2662.0,0.0,251.0,251.0,251.0,0.0,0.0,10.5,10.5,0.0,0.0,251.0,0.0,962909.0,2818.0,10946.0,257454.0,1383.0,2913.0,3069.0,11921.0,197588.0,251.0
533,Uruguay,1990,7.445,1267.0,1312.0,46.46,134.8,4082.0,12900000000.0,22.9,0.0,0.0,1300.0,229.1,22.9,22.9,45.0,17.9,328.0,92.2,75.0,80.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,150.0,17622.0,92.2,29223.0,3155.0,22.9,172.2,172.2,54580.0,2827.0,80.0
536,Venezuela (Bolivarian Republic of),1990,3.6860000000000004,2601.0,3362.0,39.25,1025.0,2811.0,58500000000.0,227.0,0.0,0.0,2044.0,1864.0,204.7,204.7,761.0,22.8,3191.0,782.7,25.0,520.0,495.0,495.0,0.0,0.0,160.0,160.0,0.0,0.0,520.0,50.0,91205.0,805.0,38704.0,20799.0,227.0,1303.0,1325.0,63705.0,17608.0,520.0
537,Viet Nam,1990,20.23,5506.0,6697.0,59.35,432.6,138.7,9870000000.0,71.42,0.0,0.0,1821.0,602.9,35.0,35.0,1191.0,214.8,56031.0,323.0,0.0,524.7,524.7,524.7,0.0,0.0,37.15,37.15,0.0,0.0,524.7,0.0,33109.0,359.4,5053.0,71130.0,71.42,847.7,884.1,12429.0,15099.0,524.7
539,Zambia,1990,3.72,2779.0,2800.0,23.47,49.36,376.5,3180000000.0,47.0,0.0,0.0,1020.0,767.7,47.0,47.0,21.0,11.23,5283.0,80.2,0.0,24.6,24.6,24.6,0.0,0.0,104.3,104.3,0.0,0.0,24.6,0.0,75261.0,80.2,9489.0,8452.0,47.0,104.8,104.8,12399.0,3169.0,24.6
540,Zimbabwe,1990,7.9079999999999995,2990.0,3090.0,38.7,9.347999999999999,632.0,6750000000.0,6.0,0.0,0.0,657.0,256.7,5.0,5.0,100.0,27.34,7334.0,11.26,7.74,7.74,0.0,0.0,0.0,0.0,14.14,14.14,0.0,0.0,7.74,39.9,39076.0,12.26,1148.0,10683.0,6.0,19.0,20.0,1872.0,3349.0,7.74
542,Albania,1995,24.35,578.0,700.0,10.93,13.56,763.0,2360000000.0,6.2,0.0,0.0,1485.0,42.69,2.35,2.35,122.0,107.6,1759.0,23.05,0.0,3.3,3.3,3.3,0.0,0.0,11.5,11.5,0.0,0.0,3.3,0.0,2875.0,26.9,8697.0,3093.0,6.2,26.35,30.2,9764.0,1334.0,3.3
